901,482,567,992
856,247,747,88
553,13,800,561
582,642,912,92
909,456,952,346
175,673,775,144
978,107,634,189
366,695,370,267
529,937,259,737
537,358,825,442
372,978,3,306
620,915,751,881
724,703,579,899
728,354,395,707
813,30,896,179
77,618,798,606
908,410,343,445
768,520,239,492
498,594,799,470
510,550,351,586
605,930,837,334
637,233,393,802
615,641,982,692
259,132,650,167
542,345,964,311
217,203,803,68
798,954,538,660
504,242,598,462
524,435,796,161
20,541,964,635
182,298,679,441
782,329,609,325
674,925,988,892
129,143,312,279
98,850,291,954
444,889,416,969
676,564,130,49
105,446,684,287
96,716,81,879
45,42,556,72
967,544,316,448
687,628,727,137
830,370,444,275
259,860,244,288
777,374,337,234
173,373,874,621
89,955,500,487
997,56,559,316
952,875,765,992
503,844,129,333
215,925,960,826
786,204,114,915
931,803,501,104
529,375,77,618
682,578,105,679
986,16,348,291
891,113,283,746
957,764,432,524
690,392,351,828
597,817,95,528
621,596,984,150
972,61,120,6
991,578,38,330
594,386,621,486
499,256,584,808
372,16,333,414
409,684,594,358
501,689,238,474
638,574,976,962
987,449,968,979
27,6,661,621
392,634,459,243
242,44,52,614
412,385,381,173
421,975,531,274
17,121,101,7
695,77,969,683
526,289,14,905
296,675,527,40
661,338,284,903
734,336,869,147
73,250,320,494
578,204,120,947
325,221,954,21
299,275,56,177
564,70,83,212
97,962,253,110
652,537,13,387
225,234,886,650
837,206,496,415
410,616,714,88
838,668,461,489
295,517,18,859
939,453,72,388
767,677,498,420
566,863,159,143
97,45,793,934
251,289,701,14
257,415,102,447
435,563,936,730
432,307,942,723
760,14,111,528
43,961,948,609
824,459,752,273
504,545,560,755
186,613,121,795
381,223,243,816
138,531,899,922
838,841,645,599
207,756,479,250
69,779,859,893
238,963,519,742
508,79,849,46
44,971,841,425
546,436,242,685
968,493,959,806
686,605,757,893
713,588,495,783
367,706,676,605
669,547,699,529
978,549,575,23
520,768,448,418
205,42,455,173
535,415,331,221
20,441,466,733
29,313,516,749
19,545,706,688
92,406,569,423
307,144,446,827
265,246,597,470
641,53,995,528
468,678,102,488
119,568,573,501
882,90,250,253
987,308,942,79
714,511,854,21
8,300,200,273
899,798,95,540
851,442,68,671
120,170,511,592
91,84,445,973
526,47,226,513
355,520,945,70
384,799,443,392
452,644,17,351
794,464,891,997
906,959,668,378
482,179,322,573
615,767,898,142
814,124,7,170
997,952,240,381
104,35,125,556
679,494,907,825
310,150,822,216
461,842,946,943
373,269,516,989
36,414,483,203
891,490,373,240
795,965,621,899
0,98,807,32
944,66,857,254
216,680,822,29
522,768,973,248
37,841,237,426
608,72,629,499
562,354,739,709
319,712,608,319
162,767,351,106
833,209,360,401
241,182,431,115
950,404,363,340
597,952,118,205
24,99,56,587
453,795,648,772
859,609,443,21
376,147,479,210
356,839,611,949
373,42,64,676
798,780,368,396
732,486,601,109
937,658,48,390
805,696,514,17
305,309,390,682
456,870,244,812
61,207,113,435
602,530,111,400
310,831,148,394
317,102,503,606
112,551,996,917
600,862,286,905
171,677,587,628
899,183,792,960
391,906,747,993
436,210,745,98
41,894,844,710
348,700,316,460
251,664,729,851
878,16,109,50
45,48,30,944
232,822,256,975
80,356,968,868
918,65,966,960
311,163,22,659
863,691,119,466
707,849,670,586
865,779,636,262
827,18,206,411
840,814,386,921
170,706,789,89
772,108,401,83
271,775,743,486
466,214,952,174
63,622,112,280
753,100,542,933
118,100,344,958
267,83,231,437
141,373,878,913
833,631,349,456
407,444,942,225
658,246,751,722
869,863,354,974
963,897,907,81
349,604,392,616
687,975,406,828
348,636,94,533
268,443,989,27
239,283,252,897
530,4,619,751
219,974,725,183
223,633,616,572
589,8,541,628
336,947,808,684
583,902,570,203
697,559,230,936
843,835,834,373
191,805,124,410
131,201,945,706
186,562,631,775
922,172,403,258
119,212,295,54
466,865,258,516
424,488,804,619
675,990,344,866
148,820,629,279
22,574,338,208
488,969,336,411
141,91,21,612
303,316,666,122
181,924,990,958
413,794,929,88
785,274,307,933
446,936,564,820
510,902,29,999
871,717,762,364
808,783,976,464
100,643,586,633
567,576,943,332
722,873,421,507
